,statement,source,veracity
13076,All the talk about socialism during the campaign made young people more interested in it by Election Day.,Michael Moore,0
13077,"In the 1950s,  ""A lot of people got rich — and they had to pay a top tax rate of 90 percent.""",Michael Moore,1
13078,"""The majority actually want single-payer health care.""",Michael Moore,0
13079,"After Fahrenheit 9/11 came out, ""Bush's approval rating never was better, it only got worse.""",Michael Moore,0
13080,"""The richest 1 percent have more financial wealth than the bottom 95 percent combined.""",Michael Moore,1
13081,Gas will reach $4 a gallon under a cap-and-trade plan.,EnergyCitizens.org,0
13082,Medicare officials have treated Humana and AARP inconsistently on how they can communicate with seniors.,House Republican Conference,0
13083,"White House Political Director Patrick Gaspard once served as the ""right-hand man"" for Bertha Lewis, who heads up ACORN.",Steve Doocy,0
13085,"""Health care mandate will require imprisonment and fines for Americans who can’t afford to purchase insurance or pay hefty government penalties.""",Patients First,0
13086,"""The Defense Department received only one-half of 1 percent of the nearly trillion-dollar stimulus package funding.""",Sarah Palin,1
13087,"""For the first time in history, the Democratic Congress will not allow an increase in the social security COLA (cost of living adjustment).""",Chain email,0
13088,"Barack Obama and the Democrats have ""proposed a tax for not having health insurance.""",Republican National Committee,1
13090,"In a now-viral video, ""impressionable youngsters at a public school in New Jersey ... have been instructed to sing the praises of 'Barack Hussein Obama.'""",Michael Steele,1
13091,"Goldman Sachs was Barack Obama's ""No. 1 private contributor.""",Michael Moore,1
13096,"""Our own National Security Agency says that (Iran's) nuclear ambitions are advancing, and at the same time ... we are slashing our own nuclear arsenal.""",Sean Hannity,1
13097,"""FDR was called a socialist and a communist.""",Barack Obama,1
13098,"""Recent census data shows that the average American family spends over $13,000 a year for health care coverage.""",Bruce Braley,0
13100,"""Under the Baucus bill ... federal funds would subsidize coverage of elective abortions.""",National Right to Life Committee,0
13101,"The Baucus bill ""contains provisions that would send massive federal subsidies directly to both private insurance plans and government-chartered cooperatives that pay for elective abortion.""",National Right to Life Committee,1
13102,"""In some states, it is still legal to deny a woman coverage because she's been the victim of domestic violence.""",Michelle Obama,1
13104,"""Mathematically, the White Sox can still get in the playoffs.""",Barack Obama,1
13105,"The Obama administration's cap-and-trade plan would create ""a $1,761 yearly energy tax.""",Lamar Alexander,0
13106,"Health insurance companies deny ""1 out of 5 treatments prescribed by doctors.""",Health Care for America Now,0
13107,"Insurers delayed an Illinois man's treatment, ""and he died because of it.""",Barack Obama,0
13110,Health insurance companies pay CEOs $24 million a year,Health Care for America Now,0
13111,"""Medicare began as a public option and now holds 97 percent of the market share.""",Tom Price,1
13112,The House of Representatives has never passed a resolution of disapproval to condemn a member's behavior.,John Boehner,1
13113,"""Every other democracy in the world has a health care system that covers everybody, and we don't.""",Howard Dean,0
13114,"The Obama administration ""was successful in rushing a massive spending bill through Congress in just two days — after which it sat on the president's desk for three days, while he was away on vacation.""",Thomas Sowell,0
13115,The U.S. ranks 37th in the world for health care.,Paul Hipp,1
13116,"Photo of ""tea party"" protests shows crowd sprawling from Capitol to Washington Monument",Bloggers,0
13117,"The Democratic health care bill in the House would ""create 53 new government bureaucracies.""",Charles Boustany,0
13118,"As a candidate, President Obama ""declared that everyone deserves access to reproductive health care that includes abortion, and vowed that this 'right' would be at the heart of his health care reform plan if elected president.""",John Boehner,1
13119,"A new bill ""was written into the new health care reform initiative ensuring that Congress will be 100 percent exempt.""",Chain email,0
13121,"Health reform will ""give every American the same opportunity"" to buy health insurance the way members of Congress do.",Barack Obama,0
13122,"""You lie!"" (in response to President Obama saying health reform would not insure illegal immigrants.)",Joe Wilson,0
13123,"""It’s a plan that incorporates ideas from many of the people in this room tonight – Democrats and Republicans.""",Barack Obama,0
13124,"""The claim ... that we plan to set up panels of bureaucrats with the power to   kill off senior citizens ... is a lie, plain and simple.""",Barack Obama,1
13125,"Preventive care ""saves money.""",Barack Obama,0
13126,"If you ""already have health insurance through your job, or Medicare, or Medicaid, or the VA, nothing in this plan will require you or your employer to change the coverage or the doctor you have.""",Barack Obama,1
13127,"""Switzerland and the Netherlands . . .  cover all their citizens using private insurers, and they do so for much less cost.""",Matt Miller,1
13128,"""The Obama Administration's own White House Council of Economic Advisers has estimated 4.7 million Americans will lose their jobs if the (health care) bill passes.""",John Carter,0
13129,"Van Jones ""is an avowed, self-avowed radical revolutionary communist.""",Glenn Beck,0
13131,"The government is ""going to have the right to get into your bank account with the health care bill and make transfers without you knowing it.""",Rush Limbaugh,0
13132,"""We waterboard, incidentally, hundreds of our own military personnel. They waterboard themselves in training to toughen themselves up.""",Duncan Hunter,1
13133,"A scheduled speech by President Barack Obama will be ""the first time an American president has spoken directly to the nation's school children about persisting and succeeding in school.""",Arne Duncan,0
13134,"""Cap-and-trade is wildly unpopular with Americans.""",Investor's Business Daily,0
13135,"""It took Obama six months to pick out a family dog,"" but he's ""cramming health care reform down the country's throat in a fraction of that time.""",Haley Barbour,0
13136,"""Scientists project that the Arctic will be ice-free in the summer of 2013.""",John Kerry,0
13137,"Over the past few months, we've learned that ""we just can't count on the media to debunk"" lies about health insurance reform.",Organizing for America,0
13138,"Schoolchildren across the nation ""will be forced to watch the president justify his plans for government-run health care, banks, and automobile companies, increasing taxes on those who create jobs, and racking up more debt than any other president.""",Republican Party of Florida,0
13140,"""Since World War II, only Gerald Ford and Bill Clinton have had worse ratings after seven months than President Obama.""",Newt Gingrich,1
13141,"""All the really great programs in American history, Social Security, was done without Republicans. Medicare was done without Republican support until the last vote where they realized they had to get on board.""",Howard Dean,0
13142,"""Under the plan, for the first five years your employer not only has to keep the coverage, but you can't migrate to the public plan.""",Anthony Weiner,0
13143,"""It's costing every American who is insured $1,100 to pick up the cost of uncompensated care that goes on at the emergency room.""",Barbara  Boxer,0
13144,"""President Obama . . . wants to mandate circumcision.""",Rush Limbaugh,0
13147,"""Any government-run 'public' plan ... forces more employers to drop employee coverage due to rising costs and pay an additional 8% payroll tax for each worker.""",Ginny Brown-Waite,0
